"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
491.5,3,18,8,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",34.33,66.82,0.53,260.9
903.66,6,4,6,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",62.8,85.81,15.11,274.7
2349.85,100,4,2,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",104.29,182.88,6.12,2669.59
119.01,3,29,1,0,1,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",107.04,238.62,0.17,42.2
118.54,8,64,3,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",38.61,22.72,1.5,40.72
503.78,34,60,3,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",144,60.48,3.49,173.05
29.63,2,4,3,0,1,"ITA","Northern Italy","Nationals","a 0-20","Plugs and Caps","Spare Parts",11.3,170.41,0.05,10.18
5112.33,100,4,3,0,601,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",219.41,395.55,12.71,3513.77
168,4,4,1,0,1,"FRA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",46.8,39.59,0.29,56.01
48.1,2,4,3,0,1,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",12.23,13.66,0.08,11.1
96.19,4,4,3,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",25.48,18.26,1.12,22.2
72.14,3,29,3,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",19.49,49.13,0.35,16.65
47.37,4,4,3,0,1,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",19.11,17.67,0.35,13.4
464.93,4,18,0,0,4257,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",17.03,40.21,0.9,62.07
50.8,1,4,0,0,1910,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",40.63,34.57,0.24,15.47
685.66,6,29,0,0,1044,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",23.72,58,1.21,97.76
87.79,1,4,1,0,1,"NAM","USA","Others","c 100-250","Plugs and Caps","Spare Parts",16.49,20.63,0.28,21.46
1089.77,16,40,1,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",220.05,114.85,184.84,136.43
136.22,2,18,1,0,1,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",26.07,13.2,0.24,17.05
1370.26,20,40,1,0,1,"IAM","Northern Italy","Nationals","d 250-500","Plugs and Caps","Spare Parts",201.07,454.4,1.62,157.05
148.57,2,4,1,0,1,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",37.4,130.9,0.23,22.46
742.87,10,40,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",130.46,85.44,1.15,112.29
2080.03,28,68,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",206.38,230.52,2.5,188.3
79.31,2,4,1,0,2965,"FRA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",20.1,18.44,0.12,19.4
594.83,15,4,1,0,2492,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",89.27,54.25,1.27,145.47
475.86,12,60,1,0,2020,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",80.11,324.19,2.15,116.37
267.18,7,18,1,0,1089,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",20.04,74.14,0.33,64.05
1145.05,30,18,1,0,3650,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",84.32,101.17,2.02,274.52
725.2,19,68,1,0,2674,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",51.35,61.62,44.71,173.86
76.34,2,18,1,0,2910,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",12.6,11.03,0.15,18.3
205.28,11,18,3,0,1,"APA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",24.61,630.54,0.48,65.51
395.64,12,40,1,0,1,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",191.1,584.15,21.3,90.17
659.41,20,68,1,0,1,"UKE","UK","Nationals","b 20-100","Plugs and Caps","Spare Parts",338.97,29.3,1.95,150.29
234.72,6,4,1,0,1,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Spare Parts",34.22,35.79,0.01,194.63
508.55,13,40,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",86.75,347.44,2.52,421.69
104.18,2,4,0,0,3660,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",13.05,17.99,0.24,41.53
102.41,2,4,0,0,2956,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",18.92,26.55,14.24,146.78
666.53,12,18,1,0,1,"IAM","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",53.57,92.25,1.05,14.83
190.19,6,29,1,0,1,"CEU","Northern Italy","Strategic","Strategic","Plugs and Caps","Spare Parts",70.9,19.22,1.48,12.27
74.14,1,4,0,0,2057,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",10.6,14.71,1.69,18.16
284.35,5,18,0,0,1316,"CEU","Spain","Others","b 20-100","Plugs and Caps","Spare Parts",23.74,20.16,0.53,123.84
284.35,5,18,0,0,1316,"CEU","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",23.74,20.16,0.53,123.84
107.95,1,4,0,0,3139,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",15.65,21.73,2.5,64.8
975.64,5,18,1,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",40.21,93.98,84.92,69.48
1281.43,10,29,1,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",32.41,126.07,135.56,93.4
263.49,6,60,0,0,1090,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",34.79,23.68,22.25,96.65
1071.77,32,18,1,0,1,"SCA","Northern Italy","Nationals","a 0-20","Plugs and Caps","Spare Parts",76.47,352.46,1.77,108
1168.45,13,51,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",75.24,129.42,6.08,64.69
359.52,4,40,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",39.39,245.12,1.83,19.9
1438.1,16,29,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",141.13,112.41,3.87,79.61
449.41,5,29,1,0,1,"IAM","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",41.08,62.36,0.72,24.88
539.29,6,4,1,0,1,"APA","Northern Italy","Others","d 250-500","Plugs and Caps","Spare Parts",47.35,42.24,0.81,29.86
456.09,4,18,12,18,1355,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",19.2,35.52,1.2,43.17
516.75,4,40,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",76.85,353.78,2.73,29.07
712.46,20,51,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",179.07,75.68,0.65,51.18
593.49,20,40,1,0,1,"IAM","Northern Italy","Nationals","d 250-500","Plugs and Caps","Spare Parts",149.48,267.19,1.02,31.83
558.93,20,4,7,0,1,"FRA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",36.98,73.47,0.85,56.2
223.57,8,4,7,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",15.37,41.04,1.84,22.48
4611.15,165,64,7,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",168.01,456.64,13.96,463.66
447.14,16,29,7,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",29.26,302.21,1.46,44.96
558.93,20,4,7,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",36.71,41.99,1.06,56.2
335.36,12,4,7,0,1,"APA","Northern Italy","Others","d 250-500","Plugs and Caps","Spare Parts",17.59,24.33,0.35,33.72
