"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
806.57,5,4,41,337.65,1945,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",46.35,71.23,0.58,175.31
1613.14,10,4,41,337.65,3093,"FRA","Southern Italy","Others","e >500","Profiles","Metal Profiles",56.76,160.33,1.17,350.62
588.13,5,4,34,93.9,846,"CSI","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",23.08,33.15,0.4,167.56
6915.46,59,51,34,1116.87,295,"ITA","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",439.34,749.02,4.89,723.67
621.84,4,18,36,347.84,1027,"UKE","UK","Others","c 100-250","Profiles","Metal Profiles",93.75,16.41,0.85,99.2
1865.52,12,18,36,347.84,2708,"UKE","UK","Nationals","e >500","Profiles","Metal Profiles",228.59,43.67,2,297.61
11467.92,100,40,34,3028.8,1480,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",586.8,886.52,7.7,1119.87
6880.75,60,29,34,3028.8,317,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",424.96,555.93,4.97,663.63
6488.81,56,51,34,1211.28,367,"ITA","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",412.25,681.54,4.33,738.02
710.9,6,4,34,208.23,1028,"IAM","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",61.5,36.12,0.5,124.93
592.42,5,4,34,208.23,894,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",42.82,51.28,0.57,104.11
1230.52,10,4,34,216.3,1984,"IAM","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",100.18,63.8,0.94,227.47
589.87,5,4,34,108.15,982,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",40.39,52.03,0.62,168.66
2913.53,25,51,34,473.5,3424,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",229.6,298.62,1.92,379.13
3489.65,29,40,34,738.27,3712,"IAM","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",283.68,177.66,2.41,395.67
1203.33,10,4,34,738.27,1881,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",74.92,124.16,0.84,136.44
7440.21,65,60,36,1245.4,412,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",407.21,582.48,5.15,795.09
4769.7,25,18,41,609,473,"APA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",144.49,267.94,4.38,987.79
2861.82,15,18,41,365.4,4374,"APA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",101.53,160.77,2.63,650.45
1178.01,10,4,35,216.3,1984,"APA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",48.54,27.84,0.74,230.76
563.62,5,4,34,94.7,894,"CSI","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",45.15,208.7,0.75,163.78
639.85,5,4,34,94.7,894,"FRA","Southern Italy","Others","e >500","Profiles","Metal Profiles",26.84,66.01,0.64,165.11
1779.47,15,4,34,283.95,2523,"APA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",57.55,173.39,1.58,272.34
1136.88,10,4,34,189.4,2107,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",86.55,93.63,0.81,476.08
576.21,5,4,34,93.9,846,"CSI","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",23.08,32.61,0.4,167.5
2444.43,20,18,13,289.2,4438,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",193.61,196.11,1.72,568.85
5284.35,40,40,24,657.2,643,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",216.75,167.64,12.47,1086.75
1336.76,10,4,29,165.9,3348,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",48.95,38.36,2.29,380.65
785.98,6,4,29,99.54,2476,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",37.18,22.56,1.35,272.18
10661.95,80,51,19,1307.25,2332,"IAM","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",378.14,381.34,67.75,2074.14
399.82,3,4,19,1307.25,1041,"CSI","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",27.21,31.77,0.4,78.56
1243.52,10,18,19,157.5,3044,"IAM","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",90.14,46.03,8.84,336.95
3871.98,28,40,19,441,266,"IAM","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",219.41,147.01,28.9,793.55
10391.46,75,64,19,1122.75,2294,"FRA","Southern Italy","Strategic","Strategic","Profiles","Metal Profiles",545.62,681.39,44.85,2008.72
720.43,5,4,23,80.25,2009,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",57.4,65.12,0.67,235.26
665.43,5,4,25,79.55,1952,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",50.15,55.33,0.47,231.56
2028.05,15,29,23,240.9,4009,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",153.52,183.56,1.82,502.61
820.51,5,18,28,80.3,2009,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",75.99,67.43,0.57,259.54
302.48,2,4,23,32.1,816,"CSI","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",29.68,27.58,0.28,160.23
18565.03,125,40,34,2341.25,3842,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",530.93,542.32,33.59,3974.33
4881.64,30,18,29,541.8,407,"SAM","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",175.75,671.73,4.21,869.89
1003.84,5,18,34,102.25,2073,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",84.59,83.29,0.75,292.24
1263.94,6,4,32,128.64,2114,"CSI","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",38.37,33.23,0.96,262.84
834.77,5,4,35,108.15,2008,"CSI","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",33.6,268.18,0.88,260.58
10168.4,115,64,12,1380,2859,"CEU","Southern Italy","Strategic","Strategic","Profiles","Metal Profiles",367.17,528.87,181.19,2617.3
884.21,10,4,12,1380,2946,"CEU","Southern Italy","Strategic","Strategic","Profiles","Metal Profiles",29.78,72.9,15.76,229.4
1500.9,16,18,12,176.64,3728,"CEU","Southern Italy","Strategic","Strategic","Profiles","Metal Profiles",75.73,75.37,25.21,472.35
501.45,5,4,29,58.6,1854,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",31.32,14.69,0.92,298.17
4349.57,55,40,12,591.25,1493,"SCA","Southern Italy","Others","e >500","Profiles","Metal Profiles",281.32,248.62,3.83,1313.47
4396.2,42,4,26,525.84,590,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",107.63,123.05,6.87,1074.75
3237.81,30,18,27,381.6,112,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",116.61,97.2,6.46,735.89
1500.74,15,4,21,180.6,3119,"ITA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",65.15,525.64,1.12,415.34
975.31,10,18,21,120.4,2479,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",80.8,99.95,0.64,330.4
176.2,2,4,17,27.9,4164,"NAM","USA","Nationals","e >500","Profiles","Metal Profiles",21.04,25.5,0.32,107.41
2451.4,20,40,32,337,4012,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",180.86,250.05,1.54,570.48
939.67,10,4,19,141.5,2708,"NAM","USA","Nationals","e >500","Profiles","Metal Profiles",77.16,69.95,0.88,281.74
1363.69,15,29,20,261.75,3096,"SAM","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",59.92,87.72,1.97,259.59
1882.91,14,18,25,204.4,3690,"NAM","USA","Nationals","e >500","Profiles","Metal Profiles",126.67,100.99,5.17,387.18
1521.37,10,4,26,146,3353,"NAM","USA","Nationals","e >500","Profiles","Metal Profiles",96.22,89.84,4.6,354.85
2946.83,20,29,25,284,4291,"NAM","USA","Nationals","e >500","Profiles","Metal Profiles",206.03,201.44,10.33,552.63
666.17,5,4,20,69.6,1934,"IAM","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",53.2,23.92,4.36,181.09
732.85,6,4,21,84.48,1841,"ITA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",42.07,255.81,0.54,172.72
1776.66,15,29,21,211.2,3357,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",125.86,182.63,1.2,337.53
1150.68,10,18,21,140.8,2568,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",91.31,118.16,0.77,244.34
787.28,5,4,20,71.65,1318,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",73.54,88.36,1.26,162.87
1299.38,10,4,27,162.3,2689,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",95.69,134.38,0.93,264.72
2958.19,8,4,41,354.4,3669,"APA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",61.84,91.69,2.17,589.86
656.73,5,4,24,90.75,1883,"APA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",36.25,36.17,0.58,136.95
292.59,2,18,34,40.66,4456,"NAM","USA","Nationals","e >500","Profiles","Metal Profiles",42.94,39.82,17.52,107.74
1572.42,10,4,33,198,2930,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",99.88,123.73,0.99,288.5
2298.34,15,29,33,990,3682,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",142.04,241.27,1.85,340.5
3064.45,20,18,33,990,4194,"CSI","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",78.86,427.35,2.67,454
2298.34,15,4,33,990,3682,"CSI","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",66.63,279.59,2,340.5
781.92,5,4,33,99,1808,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",55,81.64,0.6,183.47
334.2,2,4,33,39.6,4183,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",34.87,34.72,0.25,121.1
726.73,5,4,33,99,1805,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",54.16,76.52,0.6,182.39
7529.44,17,29,43,756.16,339,"APA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",196.27,233.51,5.52,1049.2
2051.1,10,4,36,198,3395,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",124.2,175.51,1.52,374.89
2155.87,31,51,11,306.28,67,"SAM","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",86.91,126.88,2.48,648.15
381.08,5,4,20,58.3,926,"SCA","Southern Italy","Others","e >500","Profiles","Metal Profiles",37.9,29.39,0.35,131.66
1481.99,20,4,22,244,2152,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",97.01,74.86,1.24,215.4
4798.84,75,40,22,861.75,56,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",340.76,453.86,3.95,623.56
16320.88,235,9,22,2867,2299,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",983.43,1314.31,13.15,1759.37
135.18,2,4,22,24.4,2127,"FRA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",25.65,11.63,0.12,82.56
3357.31,40,18,22,488,3501,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",190.52,164.43,2.53,412.57
1715.9,20,4,22,244,2152,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",90.49,84.13,1.3,260.58
12174.82,155,60,29,2176.2,1623,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",726.17,1159.16,10.76,1374.83
7185.67,110,74,23,1466.3,619,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",433.69,182.86,4.67,929.94
863.31,10,18,22,132.3,1194,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",117.43,94.33,0.62,157.38
19172.66,205,64,22,2712.15,2243,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",1044.13,1576.75,16.23,1755.24
873.49,10,4,29,156.3,1372,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",48.92,22.02,0.56,183.73
20074.48,154,28,31,2508.66,3634,"CEU","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",833.04,1468.91,146.44,4086.85
806.3,5,4,44,105.59,2436,"NAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",38.04,23.57,1.47,385.87
7626.9,135,68,11,1645.65,1439,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",267.93,182.11,6.13,1022.71
1114.1,20,29,11,608.4,2438,"CEU","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",75.78,52.82,0.81,158.29
1782.56,32,18,11,608.4,3138,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",109.51,42.52,1.43,253.26
9025.79,164,74,11,1918.8,1596,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",294.32,214.36,7.19,1213.85
527.87,6,4,11,71.34,4350,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",43.31,95.33,0.43,79.85
1320.08,15,4,11,178.35,1900,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",88.81,97.72,1.15,164.59
453.42,5,4,11,40.7,3460,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",63.25,107.78,0.41,61.18
1725.81,20,18,11,155.8,1863,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",104.23,158.16,1.39,164.65
1564.25,20,18,11,155.8,1863,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",97.44,143.35,1.26,161.64
623.93,6,4,11,71.34,4363,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",47.91,112.37,0.49,82.5
198.22,4,4,12,47.56,3414,"FRA","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",14.99,22.59,0.24,58.61
1648.45,15,40,21,212.7,2016,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",200.78,179.41,1.14,291.76
1159.49,14,29,18,182.56,2925,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",109.31,97.07,0.95,273.4
361.19,5,4,21,65.7,4148,"IAM","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",31.68,10.74,0.31,104.69
412.5,5,4,24,65.7,4456,"IAM","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",33.19,12.31,0.36,126.12
461.4,5,4,22,496.91,4164,"ITA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",43.83,48.56,0.39,51.04
2491.54,27,40,22,496.91,3004,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",214.48,294.58,2.01,275.61
461.4,5,4,22,496.91,4164,"APA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",30.95,45.89,0.54,51.04
1731.71,20,4,22,560.4,3146,"SCA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",63.77,68.03,1.55,294.48
1731.71,20,4,22,560.4,3146,"CEU","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",63.74,81.12,1.03,294.48
1296.04,14,4,22,336.24,2559,"SCA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",54.7,51.43,1.2,225.26
925.74,10,4,22,336.24,1979,"CEU","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",39.73,43.74,0.57,160.9
1276.27,15,29,22,402.9,1977,"SCA","Southern Italy","Others","e >500","Profiles","Metal Profiles",117.05,102.4,1.42,157.69
1276.27,15,29,22,402.9,1977,"FRA","Southern Italy","Others","e >500","Profiles","Metal Profiles",89.05,131.13,1.18,157.69
11649.05,120,60,22,2524.84,720,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",690.9,952.28,8.94,1033.44
6601.13,68,68,22,2524.84,108,"ITA","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",513.49,713.1,5.72,576.63
612.09,8,29,23,106.24,993,"FRA","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",41.45,53.37,0.57,137.37
7740.84,75,60,29,996,1429,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",372,197.23,5.05,1151.39
22618.06,220,51,29,2921.6,3547,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",934.42,576.92,14.82,3231.74
898.81,10,4,22,134.3,1201,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",32.8,61.51,0.83,152.45
1011.01,9,29,23,120.42,1105,"FRA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",142.89,94.98,13.44,159.08
1018.72,10,18,22,470.05,1201,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",98.73,118.76,0.72,104.93
2546.79,25,64,22,470.05,2925,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",295.47,280.29,1.93,262.33
486.44,7,51,23,94.01,910,"UKE","UK","Nationals","e >500","Profiles","Metal Profiles",73.34,11.62,0.54,129.96
1449.83,20,5,22,268.6,2507,"UKE","UK","Nationals","e >500","Profiles","Metal Profiles",260.14,40.28,1.9,228.79
982.8,13,40,22,166.79,1805,"UKE","UK","Others","c 100-250","Profiles","Metal Profiles",151.02,25.7,1.32,171.56
2626.9,30,29,23,398.4,3125,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",269.68,224.65,2.07,324.65
19458.28,205,74,19,2753.15,2257,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",1021.31,986.76,16.26,1732.14
337.45,4,4,21,51.16,822,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",27.27,29.6,0.34,128.71
373.85,5,4,25,66.4,4148,"CSI","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",28.37,89.41,0.3,113.96
26742.09,270,64,29,3534.3,3858,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",1140.6,691.32,18.36,3897.04
10667.17,90,9,23,1280.7,477,"ITA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",821.35,916.3,7.99,981.28
4938.31,55,18,29,856.9,21,"UKE","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",373.55,256.83,11.31,569.55
861.84,10,4,29,155.8,1316,"FRA","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",46.04,100.26,1.07,167.66
861.84,10,4,29,155.8,1316,"FRA","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",39.64,92.13,0.98,166.42
392.7,4,4,29,62.32,3980,"FRA","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",24.16,39.4,0.42,115.29
16597.6,207,68,29,3225.06,2376,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",428.92,401.22,13.54,1871.33
8018.16,100,60,29,1558,656,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",257.1,193.2,6.54,934.67
166.23,2,4,29,31.16,2985,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",53.54,148.23,0.13,93.58
14517.16,155,68,31,2414.9,1732,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",416.88,367.02,12.72,1456.7
11613.73,124,68,31,1931.92,1514,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",335.5,286.49,9.79,1175.97
11310.1,130,5,30,2057.9,1573,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",409.39,734.86,9.35,1247.33
1078.87,10,18,31,155.8,2087,"SCA","Southern Italy","Others","e >500","Profiles","Metal Profiles",105.72,87.53,1.26,248.72
1126.32,8,4,39,174.64,2927,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",77.22,101.53,1.02,354.53
207.84,2,4,32,32.68,3943,"FRA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",30.29,15.82,2.2,134.26
428.12,4,40,36,70.16,917,"UKE","UK","Nationals","e >500","Profiles","Metal Profiles",73.49,11.41,0.54,160.29
4989.75,50,51,37,904,438,"CEU","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",175.28,371.19,38.68,927.32
8292.94,70,18,41,1382.5,1458,"UKE","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",573.37,430.68,18.91,1268.02
2529.1,20,4,41,390.8,3672,"UKE","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",171.47,128.54,5.48,451.32
115992.98,986,68,33,17491.64,2658,"CSI","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",2054.71,2792.83,79.21,20348.11
16670.28,160,74,34,2934.4,2281,"IAM","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",585.36,673.34,11.25,1748.14
984.15,10,4,34,452.25,1841,"ITA","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",67.65,30.76,0.77,136.45
1476.23,15,4,34,452.25,2476,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",88.48,38.47,1.06,204.67
5266.4,50,68,38,904.5,437,"FRA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",494.2,429.26,60.11,817.54
944.09,10,18,34,183.4,1810,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",83.14,110.26,0.68,188.54
7394.13,80,29,34,1537.65,569,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",424.9,613.23,5.87,854.31
462.13,5,4,34,1537.65,833,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",30.83,49.23,0.42,54.69
1859.79,20,18,35,366.8,2974,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",76.08,130.44,1.79,293.5
2976.97,30,51,35,550.2,3711,"ITA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",151.63,207.25,2.83,399.81
1537.72,15,29,34,275.1,2481,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",138.2,147.38,1.49,248.16
10708.17,90,60,39,1770.3,1485,"NAM","USA","Nationals","c 100-250","Profiles","Metal Profiles",1029.87,1211.06,15.32,1141.29
2076.55,20,4,35,387.4,3024,"NAM","USA","Nationals","c 100-250","Profiles","Metal Profiles",248.91,296.99,3.76,278.56
2342.62,20,4,42,390.4,3138,"NAM","USA","Others","b 20-100","Profiles","Metal Profiles",284.54,364.67,4.72,343.17
505.67,5,4,33,92.7,839,"FRA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",38.51,47.33,0.5,148.24
1064.8,10,4,32,185.4,2084,"FRA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",57.15,96.24,1.01,229.44
13465.76,85,40,43,1909.95,2346,"UKE","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",958.8,731.47,35.18,2549.72
785.93,8,18,35,149.52,1261,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",67.1,45.76,0.64,172.2
627.52,5,4,45,96.9,1358,"CEU","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",29.55,46.82,4.96,371.84
9415.99,94,51,35,1776.6,1402,"ITA","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",499.68,545.35,7.01,1051.81
824.32,5,4,43,279,1372,"FRA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",41.07,68.48,0.71,254.32
1648.65,10,4,43,279,2707,"CIN","Southern Italy","Nationals","b 20-100","Profiles","Metal Profiles",66.33,71.33,1.15,508.64
3086.29,21,51,38,434.49,107,"FRA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",345.1,253.08,35.46,774.02
414.56,2,4,31,41.62,4164,"APA","Southern Italy","Nationals","c 100-250","Profiles","Metal Profiles",29.09,22.36,0.34,150.93
836.18,9,40,15,130.5,2009,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",98.61,42.73,0.99,158.13
1285.16,12,18,13,174.36,1904,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",65.97,109.86,1.19,179.62
4172.39,40,40,15,578.4,137,"FRA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",248.88,338.66,3.52,656.18
952.13,10,4,15,144.6,2114,"FRA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",55.14,77.3,0.8,193.05
3020.38,25,29,15,361.5,3936,"FRA","Southern Italy","Nationals","d 250-500","Profiles","Metal Profiles",183.27,251.68,2.62,439.48
931.77,10,4,21,157.5,1325,"IAM","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",49.98,28.31,0.84,158.58
535.27,6,29,26,88.02,1048,"UKE","UK","Nationals","e >500","Profiles","Metal Profiles",123.6,17.34,0.84,147.08
586.99,5,4,21,78.75,4407,"IAM","Southern Italy","Others","a 0-20","Profiles","Metal Profiles",37.23,17.08,0.48,119.37
1789.8,12,4,23,189,2621,"CSI","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",47.17,46.31,1.34,267.97
860.84,8,29,22,786.45,1153,"FRA","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",52.11,70.64,0.75,87.46
3228.17,30,29,22,786.45,3471,"ITA","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",217.78,272.49,2.29,327.99
1183.66,11,18,22,786.45,1841,"APA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",56.05,115.75,1.09,120.26
23059.09,200,5,22,3390,2765,"SCA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",770.71,879.99,18.28,2350.34
796.1,7,51,22,1364.25,1030,"FRA","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",46.81,65.03,0.69,73.33
4549.12,40,51,22,1364.25,4021,"SCA","Southern Italy","Others","e >500","Profiles","Metal Profiles",340.82,369.88,5.2,419.04
1137.28,10,18,22,1364.25,1359,"CEU","Southern Italy","Others","e >500","Profiles","Metal Profiles",88.58,123.3,1.4,104.76
2274.56,20,40,22,1364.25,2672,"FRA","Southern Italy","Others","e >500","Profiles","Metal Profiles",120.25,234.51,2.15,209.52
796.1,7,4,22,1364.25,1030,"UKE","UK","Others","b 20-100","Profiles","Metal Profiles",138.06,23.02,1.2,73.33
1382.71,10,18,22,169.5,1815,"SCA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",90.8,56.56,1.42,187.02
5165.92,50,40,23,802.5,4435,"SCA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",191.96,220.79,6.07,546.09
1476.23,15,29,22,240.75,2116,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",129.73,177.95,1.4,206.67
5161.63,40,60,22,642,4021,"ITA","Southern Italy","Others","e >500","Profiles","Metal Profiles",376.55,494.28,4.83,464.43
5241,44,74,25,771.75,410,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",512.49,212.54,3.83,840.24
595.57,5,4,25,771.75,1204,"ITA","Southern Italy","Others","d 250-500","Profiles","Metal Profiles",56.33,96.07,0.44,95.48
6019.25,55,51,23,898.8,54,"SAM","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",238,360.88,7.29,577.64
983.35,8,18,22,128.4,1153,"ITA","Southern Italy","Nationals","e >500","Profiles","Metal Profiles",121.2,51.41,0.81,144.29
617.9,6,4,23,175.01,910,"SAM","Southern Italy","Others","b 20-100","Profiles","Metal Profiles",40.7,24.52,0.65,94.62
514.92,5,4,23,175.01,4427,"IAM","Southern Italy","Others","e >500","Profiles","Metal Profiles",33.83,38.83,0.43,78.85
1572.69,15,4,23,240.75,2116,"ITA","Southern Italy","Others","c 100-250","Profiles","Metal Profiles",104.2,100.41,1.11,213.14
